Transcript,sequence.length,best.hit.to.nr,hit.length,E.value,Bit.score,GO.Biological.Process,GO.Cellular.Component,GO.Molecular.Function,Enzyme,Domain,annotation.type,pval,adj.r.squared,padj,Apicea.type,Acarolinensis.type
100148|*|comp125464_c0_seq1,207,gi|322798083|gb|EFZ19922.1| hypothetical protein SINV_07083 ,69,8.02E-20,101.036156,GO:0006508 proteolysis,-,GO:0004252 serine-type endopeptidase activity,-,-,GO only,2.13E-06,0.820470817,0.000116483,Bimodal,Intermediate
100636|*|comp3558092_c0_seq1,207,-,-,-,-,-,-,-,-,-,,1.54E-07,0.871678362,1.46356E-05,Low,NotResp
100709|*|comp147744_c0_seq5,207,-,-,-,-,-,-,-,-,pfam13894 zf-C2H2_4,Domain only,2.20E-06,0.819717817,0.000119518,High,Low
100744|*|comp3708443_c0_seq1,207,-,-,-,-,-,-,-,-,-,,1.94E-07,0.867817904,1.76026E-05,Low,NotResp
100825|*|comp2868238_c0_seq1,207,-,-,-,-,-,-,-,-,-,,1.15E-18,0.994868875,9.38E-15,Low,Low
100882|*|comp94953_c0_seq1,206,-,-,-,-,-,-,-,-,-,,9.31E-08,0.879640617,9.88E-06,Low,High
10094|*|comp138504_c0_seq3,1312,gi|380029474|ref|XP_003698396.1| PREDICTED: LOW QUALITY PROTEIN: vesicle transport protein SFT2B-like ,167,4.14E-100,355.885349,GO:0016192 vesicle-mediated transport,GO:0016021 integral to membrane,-,-,pfam04178 Got1 | pfam13346 ABC2_membrane_5 | pfam12822 DUF3816 | pfam01061 ABC2_membrane | pfam01545 Cation_efflux,GO & Domain,9.83E-07,0.837442605,6.27905E-05,Low,Low
100996|*|comp149394_c1_seq2,206,-,-,-,-,-,-,-,-,-,,7.74E-09,0.91219038,1.36E-06,High,Low
1010|*|comp147989_c0_seq1,4232,gi|340716583|ref|XP_003396776.1| PREDICTED: zinc finger protein 18-like ,375,2.25E-253,864.68638,-,-,GO:0003676 nucleic acid binding | GO:0046872 metal ion binding,-,pfam13465 zf-H2C2_2 | pfam00096 zf-C2H2 | pfam13894 zf-C2H2_4,GO & Domain,9.74E-07,0.837635674,6.23319E-05,Intermediate,High
101362|*|comp3615826_c0_seq1,206,-,-,-,-,-,-,-,-,-,,2.34E-07,0.86463498,2.05171E-05,Low,NotResp
101438|*|comp92239_c0_seq1,206,-,-,-,-,-,-,-,-,-,,1.13E-06,0.834493049,7.02035E-05,Low,Intermediate
101512|*|comp128266_c0_seq1,206,-,-,-,-,-,-,-,-,-,,3.30E-06,0.810141478,0.000166953,Low,Intermediate
101639|*|comp99972_c0_seq1,205,-,-,-,-,-,-,-,-,-,,3.35E-07,0.858336125,2.70218E-05,Low,Low
101644|*|comp2767836_c0_seq1,205,gi|519072499|ref|WP_020228374.1| signal peptidase ,52,1.64E-26,121.226673,GO:0006508 proteolysis,GO:0016021 integral to membrane,GO:0008236 serine-type peptidase activity,-,-,GO only,8.84E-08,0.880434481,9.49E-06,NotResp,Bimodal
101659|*|comp144508_c1_seq1,205,-,-,-,-,-,-,-,-,-,,2.51E-07,0.863447197,2.1531E-05,Intermediate,Intermediate
10190|*|comp143236_c2_seq1,1300,gi|307182677|gb|EFN69810.1| hypothetical protein EAG_07634 ,131,5.09E-32,145.455293,GO:0006508 proteolysis,-,GO:0004190 aspartic-type endopeptidase activity,-,pfam03564 DUF1759,GO & Domain,3.31E-06,0.810022156,0.000167412,Low,NotResp
102136|*|comp139488_c2_seq1,205,-,-,-,-,-,-,-,-,-,,5.42E-09,0.916062196,1.01E-06,High,Intermediate
10216|*|comp142526_c0_seq1,1298,gi|322787067|gb|EFZ13291.1| hypothetical protein SINV_14462 ,379,1.68E-188,649.320864,GO:0006412 translation | GO:0006298 mismatch repair | GO:0042254 ribosome biogenesis,GO:0005840 ribosome,GO:0030983 mismatched DNA binding | GO:0003735 structural constituent of ribosome | GO:0005524 ATP binding | GO:0008097 5S rRNA binding,-,pfam00505 HMG_box,GO & Domain,1.81E-07,0.869057273,1.66706E-05,Low,Low
102374|*|comp137098_c0_seq1,205,-,-,-,-,-,-,-,-,-,,9.75E-06,0.78168999,0.000400211,Low,Low
102443|*|comp2827960_c0_seq1,204,gi|307213767|gb|EFN89105.1| Protein VPRBP ,67,6.31E-34,143.211903,-,-,-,-,pfam08513 LisH,Domain only,2.84E-08,0.896480192,3.80E-06,Bimodal,NotResp
10244|*|comp146690_c0_seq1,1294,gi|524895206|ref|XP_005104088.1| PREDICTED: atrial natriuretic peptide-converting enzyme-like ,125,8.24E-08,67.385294,-,-,-,-,-,,1.17E-06,0.833695751,7.22484E-05,Intermediate,Bimodal
102548|*|comp134784_c0_seq1,204,-,-,-,-,-,-,-,-,-,,8.45E-07,0.840556039,5.59516E-05,High,High
102562|*|comp125805_c1_seq1,204,-,-,-,-,-,-,-,-,-,,1.76E-06,0.824851722,9.98112E-05,NotResp,Low
10256|*|comp150503_c0_seq2,1293,gi|307205980|gb|EFN84106.1| Ubiquitin carboxyl-terminal hydrolase BAP1 ,223,2.48E-146,509.333279,GO:0006511 ubiquitin-dependent protein catabolic process | GO:0035522 monoubiquitinated histone H2A deubiquitination | GO:0051726 regulation of cell cycle | GO:0001558 regulation of cell growth | GO:0071108 protein K48-linked deubiquitination,GO:0035517 PR-DUB complex | GO:0005737 cytoplasm | GO:0000785 chromatin,GO:0004221 ubiquitin thiolesterase activity | GO:0003676 nucleic acid binding | GO:0008026 ATP-dependent helicase activity | GO:0005524 ATP binding | GO:0004843 ubiquitin-specific protease activity | GO:0003682 chromatin binding,-,-,GO only,2.91E-09,0.922416235,6.09E-07,Low,Low
102576|*|comp135013_c0_seq1,204,-,-,-,-,-,-,-,-,-,,5.70E-11,0.952728123,2.32E-08,High,High
102741|*|comp150523_c1_seq1,204,gi|322789202|gb|EFZ14577.1| hypothetical protein SINV_15873 ,67,1.72E-31,136.033052,"GO:0006120 mitochondrial electron transport, NADH to ubiquinone | GO:0006744 ubiquinone biosynthetic process | GO:0006814 sodium ion transport | GO:0015992 proton transport",GO:0005743 mitochondrial inner membrane | GO:0070469 respiratory chain | GO:0016021 integral to membrane,GO:0008137 NADH dehydrogenase (ubiquinone) activity,-,-,GO only,1.34E-09,0.929653502,3.29E-07,Intermediate,Intermediate
102775|*|comp147602_c2_seq9,204,-,-,-,-,-,-,-,-,-,,9.99E-07,0.837102213,6.35768E-05,NotResp,Low
10281|*|comp140419_c0_seq1,1290,gi|322797948|gb|EFZ19802.1| hypothetical protein SINV_05984 ,330,9.21E-129,451.005119,-,-,-,-,pfam13359 DDE_4,Domain only,3.73E-06,0.807084225,0.000184095,NotResp,Low
10288|*|comp149058_c0_seq1,1289,gi|307179909|gb|EFN68054.1| hypothetical protein EAG_05252 ,117,3.71E-34,152.185466,-,-,GO:0003677 DNA binding,-,pfam10545 MADF_DNA_bdg,GO & Domain,6.52E-08,0.884953806,7.57E-06,Bimodal,Intermediate
102913|*|comp2703303_c0_seq1,204,-,-,-,-,-,-,-,-,-,,4.45E-07,0.85310695,3.36304E-05,Low,NotResp
10294|*|comp123557_c0_seq1,1288,gi|332021082|gb|EGI61469.1| Polypeptide N-acetylgalactosaminyltransferase 35A ,259,9.05E-179,617.016037,GO:0016266 O-glycan processing,GO:0005794 Golgi apparatus | GO:0016021 integral to membrane,GO:0004653 polypeptide N-acetylgalactosaminyltransferase activity,-,pfam00652 Ricin_B_lectin,GO & Domain,7.16E-06,0.790198364,0.000312181,Low,Low
1029|*|comp150760_c6_seq1,4215,gi|322794241|gb|EFZ17417.1| hypothetical protein SINV_08914 ,547,0,1280.162354,GO:0006468 protein phosphorylation | GO:0043401 steroid hormone mediated signaling pathway | GO:0006357 regulation of transcription from RNA polymerase II promoter | GO:0030522 intracellular receptor mediated signaling pathway | GO:0009069 serine family amino acid metabolic process,GO:0005634 nucleus,GO:0008270 zinc ion binding | GO:0004674 protein serine/threonine kinase activity | GO:0043565 sequence-specific DNA binding | GO:0005524 ATP binding | GO:0003707 steroid hormone receptor activity | GO:0004879 ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity,-,pfam00105 zf-C4 | pfam00104 Hormone_recep,GO & Domain,2.55E-07,0.863142313,2.17588E-05,Low,Low
103076|*|comp146529_c0_seq1,204,-,-,-,-,-,-,-,-,-,,3.29E-07,0.858650486,2.66428E-05,Low,Intermediate
103115|*|comp134421_c0_seq1,204,-,-,-,-,-,-,-,-,-,,3.27E-06,0.810353247,0.000165853,Low,Intermediate
103138|*|comp2868255_c0_seq1,204,-,-,-,-,-,-,-,-,-,,1.0338E-05,0.780019068,0.000419025,High,Low
10314|*|Contig6277,1286,gi|322799122|gb|EFZ20569.1| hypothetical protein SINV_02245 ,83,5.67E-45,185.836327,-,-,-,-,-,,4.95E-06,0.799957874,0.000232241,Low,Low
103247|*|comp160005_c0_seq1,203,-,-,-,-,-,-,-,-,-,,5.82E-06,0.795744045,0.000265166,Bimodal,Intermediate
10325|*|comp149097_c3_seq6,1284,gi|322792488|gb|EFZ16465.1| hypothetical protein SINV_10383 ,48,1.02E-18,102.830868,-,-,GO:0003676 nucleic acid binding,-,pfam05485 THAP,GO & Domain,7.41E-08,0.883083733,8.31E-06,Low,Intermediate
10326|*|comp149454_c0_seq4,1284,gi|383861334|ref|XP_003706141.1| PREDICTED: LOW QUALITY PROTEIN: oxysterol-binding protein-related protein 8-like ,91,7.94E-20,106.420294,-,-,-,-,-,,7.31E-07,0.843484835,5.01595E-05,Low,Intermediate
10338|*|comp145225_c0_seq1,1283,-,-,-,-,-,-,-,-,-,,9.59E-07,0.837952154,6.15896E-05,Bimodal,Intermediate
103494|*|comp150323_c0_seq1,203,-,-,-,-,-,-,-,-,-,,4.99E-07,0.85093408,3.68213E-05,Intermediate,Intermediate
10351|*|Contig6130,1281,gi|307211787|gb|EFN87768.1| Uncharacterized protein C8orf55-like protein ,197,4.70E-91,325.823913,-,-,-,-,pfam13279 4HBT_2,Domain only,4.87E-09,0.91719589,9.27E-07,Low,Low
10358|*|comp142220_c0_seq2,1280,gi|332029699|gb|EGI69578.1| Intraflagellar transport protein 140-like protein ,379,1.21E-248,848.982645,-,-,-,-,-,,1.23E-06,0.832630041,7.5189E-05,Low,Intermediate
10406|*|comp121090_c0_seq1,1276,gi|322795405|gb|EFZ18170.1| hypothetical protein SINV_03308 ,141,9.32E-94,334.797476,GO:0006289 nucleotide-excision repair | GO:0007064 mitotic sister chromatid cohesion | GO:0007052 mitotic spindle organization | GO:0010628 positive regulation of gene expression | GO:0016322 neuron remodeling,GO:0008278 cohesin complex | GO:0000228 nuclear chromosome | GO:0005705 polytene chromosome interband | GO:0005721 centromeric heterochromatin,-,-,pfam04824 Rad21_Rec8,GO & Domain,5.79E-06,0.795883911,0.000264005,Low,Low
10415|*|comp149956_c2_seq1,1275,-,-,-,-,-,-,-,-,-,,5.54E-19,0.995315346,5.44E-15,High,Intermediate
10418|*|comp150438_c0_seq4,1275,gi|307176368|gb|EFN65967.1| hypothetical protein EAG_00422 ,143,1.90E-56,220.833224,GO:0015074 DNA integration,-,GO:0003676 nucleic acid binding | GO:0008270 zinc ion binding,-,-,GO only,1.15E-06,0.834100271,7.11999E-05,Low,Intermediate
1041|*|comp147811_c1_seq1,4198,gi|322788165|gb|EFZ13947.1| hypothetical protein SINV_05301 ,731,0,1608.594766,GO:0007264 small GTPase mediated signal transduction,GO:0005622 intracellular | GO:0016021 integral to membrane,GO:0005525 GTP binding | GO:0003676 nucleic acid binding,-,pfam02714 DUF221 | pfam13967 RSN1_TM,GO & Domain,5.39E-06,0.797751768,0.000249187,Low,Intermediate
1042|*|comp135729_c0_seq1,4198,gi|332016258|gb|EGI57171.1| Uncharacterized family 31 glucosidase ,615,0,1079.15454,GO:0005975 carbohydrate metabolic process,-,"GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds",-,pfam01055 Glyco_hydro_31,GO & Domain,3.85E-09,0.919606285,7.59E-07,Low,Low
10438|*|Contig1717,1272,gi|270016660|gb|EFA13106.1| hypothetical protein TcasGA2_TC016329 ,187,4.97E-38,164.299776,GO:0006278 RNA-dependent DNA replication | GO:0019048 virus-host interaction | GO:0006508 proteolysis | GO:0015074 DNA integration,GO:0019031 viral envelope,GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding | GO:0004190 aspartic-type endopeptidase activity | GO:0008270 zinc ion binding,-,pfam00665 rve,GO & Domain,1.62E-07,0.870803023,1.53058E-05,High,NotResp
10444|*|comp145984_c0_seq1,1271,-,-,-,-,-,-,-,-,-,,1.28E-06,0.831852801,7.71442E-05,Low,Low
10473|*|Contig4329,1269,gi|322780799|gb|EFZ10028.1| hypothetical protein SINV_02502 ,71,3.87E-19,104.176903,GO:0035999 tetrahydrofolate interconversion | GO:0055114 oxidation-reduction process | GO:0006555 methionine metabolic process,-,GO:0004489 methylenetetrahydrofolate reductase (NADPH) activity,-,-,GO only,2.33E-11,0.957750517,1.08E-08,Low,Low
10480|*|comp389006_c0_seq1,1269,-,-,-,-,-,-,-,-,-,,2.87E-07,0.861065522,2.39063E-05,Intermediate,Intermediate
10486|*|comp150656_c0_seq17,1268,-,-,-,-,-,-,-,-,-,,5.47E-08,0.887492216,6.57E-06,Low,Low
10487|*|comp149560_c0_seq7,1268,-,-,-,-,-,-,-,-,-,,8.96E-08,0.880218098,9.57E-06,NotResp,Low
10513|*|comp144780_c0_seq2,1266,gi|449683869|ref|XP_004210480.1| PREDICTED: uncharacterized protein LOC101241535 ,255,8.24E-88,315.055637,-,-,-,-,pfam05699 Dimer_Tnp_hAT,Domain only,2.36E-07,0.864525468,2.06109E-05,Low,Intermediate
10542|*|comp149882_c0_seq6,1262,gi|322782200|gb|EFZ10365.1| hypothetical protein SINV_11683 ,162,8.32E-74,272.87989,GO:0006278 RNA-dependent DNA replication | GO:0015074 DNA integration,-,GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding | GO:0008270 zinc ion binding,-,-,GO only,2.48E-07,0.863657065,2.13286E-05,Low,NotResp
1054|*|comp149268_c1_seq1,4171,gi|340725818|ref|XP_003401262.1| PREDICTED: tetraspanin-33-like isoform 1 ,278,4.28E-188,647.97483,-,GO:0016021 integral to membrane,-,-,pfam00335 Tetraspannin | pfam05839 Apc13p | pfam01428 zf-AN1,GO & Domain,9.13E-07,0.838976452,5.92715E-05,Low,Low
10579|*|comp135973_c0_seq1,1259,gi|322778718|gb|EFZ09134.1| hypothetical protein SINV_00918 ,281,4.88E-164,568.110118,GO:0006412 translation | GO:0042254 ribosome biogenesis,GO:0005840 ribosome,GO:0003735 structural constituent of ribosome,-,pfam01159 Ribosomal_L6e | pfam03868 Ribosomal_L6e_N,GO & Domain,5.23E-07,0.850047384,3.82552E-05,Low,Intermediate
10600|*|comp145916_c1_seq1,1257,gi|322784536|gb|EFZ11448.1| hypothetical protein SINV_09562 ,219,1.07E-65,248.65127,GO:0006508 proteolysis,-,-,-,pfam11838 DUF3358,GO & Domain,2.76E-06,0.814400568,0.000144104,Low,Low
10602|*|comp121885_c0_seq1,1257,gi|307174619|gb|EFN65032.1| hypothetical protein EAG_00552 ,238,2.85E-102,363.0642,GO:0006278 RNA-dependent DNA replication | GO:0006508 proteolysis | GO:0015074 DNA integration,-,GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding | GO:0004190 aspartic-type endopeptidase activity | GO:0008270 zinc ion binding,-,-,GO only,3.37E-07,0.858204206,2.7175E-05,Low,NotResp
1060|*|comp149560_c0_seq8,4162,gi|307167470|gb|EFN61043.1| Ras-related protein Rab-23 ,240,2.05E-152,529.523796,GO:0042992 negative regulation of transcription factor import into nucleus | GO:0097094 craniofacial suture morphogenesis | GO:0006184 GTP catabolic process | GO:0007264 small GTPase mediated signal transduction | GO:0000045 autophagic vacuole assembly | GO:0006968 cellular defense response | GO:0006687 glycosphingolipid metabolic process,GO:0005776 autophagic vacuole | GO:0045335 phagocytic vesicle,GO:0005525 GTP binding | GO:0004767 sphingomyelin phosphodiesterase activity | GO:0003924 GTPase activity,-,pfam00071 Ras | pfam08477 Miro,GO & Domain,7.17E-09,0.913039183,1.28E-06,Low,Intermediate
10632|*|comp145369_c0_seq1,1254,gi|328697011|ref|XP_003240207.1| PREDICTED: hypothetical protein LOC100570229 ,160,2.57E-36,158.915638,-,GO:0000785 chromatin,GO:0003677 DNA binding | GO:0003682 chromatin binding,-,pfam13837 Myb_DNA-bind_4 | pfam14093 DUF4271,GO & Domain,7.45E-08,0.88299624,8.34E-06,Low,Low
1067|*|Contig3050,4147,gi|332025834|gb|EGI65990.1| PDZ domain-containing protein 2 ,523,0,1150.943045,-,-,-,-,pfam00595 PDZ | pfam13180 PDZ_2,Domain only,3.04E-06,0.812096173,0.000156297,Low,Low
10688|*|comp156590_c0_seq1,1250,gi|322789475|gb|EFZ14760.1| hypothetical protein SINV_10396 ,257,4.93E-134,468.503567,-,GO:0005783 endoplasmic reticulum,-,-,pfam09756 DDRGK,GO & Domain,5.86E-07,0.847856331,4.18871E-05,Low,Low
1068|*|comp149643_c0_seq1,4145,gi|322802294|gb|EFZ22690.1| hypothetical protein SINV_08756 ,631,0,1434.058962,GO:0006357 regulation of transcription from RNA polymerase II promoter | GO:0006184 GTP catabolic process,GO:0016592 mediator complex,GO:0001104 RNA polymerase II transcription cofactor activity | GO:0005525 GTP binding | GO:0003924 GTPase activity,-,pfam00009 GTP_EFTU | pfam03143 GTP_EFTU_D3 | pfam07544 Med9 | pfam03144 GTP_EFTU_D2,GO & Domain,9.38E-06,0.782759746,0.000387878,Low,Low
10691|*|comp141359_c0_seq1,1249,gi|328710304|ref|XP_003244221.1| PREDICTED: hypothetical protein LOC100570070 ,349,1.19E-95,341.07897,-,-,GO:0003676 nucleic acid binding | GO:0046983 protein dimerization activity,-,pfam05699 Dimer_Tnp_hAT,GO & Domain,4.26E-10,0.939102833,1.29E-07,Bimodal,Intermediate
10695|*|comp130319_c0_seq1,1249,gi|322792930|gb|EFZ16760.1| hypothetical protein SINV_10289 ,120,3.35E-40,171.029948,-,-,-,-,-,,8.70E-07,0.839955621,5.71169E-05,Low,NotResp
10698|*|comp134886_c0_seq1,1249,gi|322797996|gb|EFZ19840.1| hypothetical protein SINV_02134 ,89,2.92E-44,183.592937,-,-,-,-,-,,2.88E-06,0.813423019,0.000149082,Bimodal,High
10707|*|comp135392_c0_seq1,1248,gi|322785845|gb|EFZ12464.1| hypothetical protein SINV_08555 ,44,5.58E-20,106.868972,GO:0007165 signal transduction,-,-,-,-,GO only,2.65E-13,0.97591396,2.84E-10,Low,Intermediate
10717|*|comp148379_c1_seq1,1247,-,-,-,-,-,-,-,-,-,,3.71E-06,0.807249211,0.000183243,High,Low
10732|*|comp148682_c0_seq4,1245,-,-,-,-,-,-,-,-,pfam05485 THAP,Domain only,7.97E-07,0.84175386,5.35154E-05,Intermediate,Intermediate
10745|*|comp147483_c0_seq1,1244,gi|322802000|gb|EFZ22537.1| hypothetical protein SINV_05975 ,301,2.61E-174,602.209658,GO:0006810 transport,GO:0005622 intracellular,GO:0005215 transporter activity,-,pfam00650 CRAL_TRIO | pfam13716 CRAL_TRIO_2,GO & Domain,4.50E-08,0.890268218,5.59E-06,Low,Low
10765|*|comp150214_c0_seq7,1242,gi|350422923|ref|XP_003493330.1| PREDICTED: zinc finger protein 184-like ,149,1.13E-49,200.194029,-,-,-,-,-,,4.32E-06,0.803428624,0.000207282,Bimodal,Intermediate
10770|*|Contig3910,1242,-,-,-,-,-,-,-,-,-,,3.24E-13,0.975302201,3.28E-10,Low,Low
1077|*|Contig410,4134,gi|332018918|gb|EGI59464.1| Egl nine-like protein 1 ,445,1.37E-239,818.921208,GO:0006261 DNA-dependent DNA replication | GO:0055114 oxidation-reduction process,GO:0005634 nucleus | GO:0042575 DNA polymerase complex,"GO:0003887 DNA-directed DNA polymerase activity | GO:0003677 DNA binding | GO:0031418 L-ascorbic acid binding | GO:0005506 iron ion binding | GO:0016706 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",-,pfam04042 DNA_pol_E_B | pfam01753 zf-MYND | pfam13824 zf-Mss51,GO & Domain,1.19E-06,0.833335559,7.31223E-05,Low,Low
10813|*|comp141278_c1_seq2,1238,gi|307185293|gb|EFN71393.1| hypothetical protein EAG_06692 ,113,1.50E-11,79.499604,-,-,-,-,-,,4.09E-06,0.80482733,0.000198031,Intermediate,Bimodal
10815|*|Contig1283,1238,gi|332021566|gb|EGI61931.1| Peptidyl-prolyl cis-trans isomerase-like 1 ,172,2.66E-119,419.597648,GO:0006457 protein folding | GO:0000413 protein peptidyl-prolyl isomerization,-,GO:0003755 peptidyl-prolyl cis-trans isomerase activity,5.2.1.8 ,pfam00160 Pro_isomerase,GO & Enzyme & Domain,8.16E-06,0.786623723,0.000346307,Low,Low
10834|*|comp144553_c0_seq2,1236,gi|332021338|gb|EGI61712.1| Acetyl-CoA carboxylase ,104,1.64E-28,134.238339,GO:0006633 fatty acid biosynthetic process | GO:0006090 pyruvate metabolic process,GO:0009343 biotin carboxylase complex,GO:0046872 metal ion binding | GO:0005524 ATP binding | GO:0004075 biotin carboxylase activity | GO:0003989 acetyl-CoA carboxylase activity,-,-,GO only,9.36E-07,0.838444861,6.05775E-05,Bimodal,Intermediate
10911|*|comp148380_c0_seq1,1229,gi|322795972|gb|EFZ18598.1| hypothetical protein SINV_80348 ,88,1.26E-47,193.912534,-,-,-,-,-,,1.25E-06,0.832339726,7.58366E-05,Low,Low
10936|*|comp141820_c0_seq1,1227,-,-,-,-,-,-,-,-,-,,4.34E-08,0.890767789,5.42E-06,Low,High
10951|*|comp124796_c0_seq1,1225,gi|332028635|gb|EGI68669.1| Uncharacterized methyltransferase WBSCR22 ,275,2.04E-167,579.327072,GO:0032259 methylation,-,GO:0016787 hydrolase activity | GO:0008168 methyltransferase activity,-,pfam08241 Methyltransf_11 | pfam12589 WBS_methylT | pfam08242 Methyltransf_12 | pfam13489 Methyltransf_23 | pfam13649 Methyltransf_25 | pfam13847 Methyltransf_31,GO & Domain,8.74E-06,0.784726056,0.00036708,Low,Intermediate
10953|*|comp146541_c2_seq1,1225,-,-,-,-,-,-,-,-,-,,3.46E-14,0.981339725,5.48E-11,Bimodal,High
10957|*|comp143219_c0_seq1,1225,gi|307178766|gb|EFN67380.1| Mitochondrial 18 kDa protein ,165,2.52E-101,359.923453,GO:0007006 mitochondrial membrane organization | GO:0000266 mitochondrial fission | GO:0006915 apoptotic process,GO:0005743 mitochondrial inner membrane | GO:0016021 integral to membrane,-,-,pfam10558 MTP18,GO & Domain,2.30E-06,0.818725656,0.000123983,Low,Low
10965|*|comp139049_c0_seq1,1224,-,-,-,-,-,-,-,-,-,,4.78E-07,0.851737111,3.55367E-05,Low,Low
10977|*|comp145769_c0_seq1,1222,gi|332028487|gb|EGI68528.1| Superoxide dismutase ,215,1.42E-134,470.298279,GO:0006801 superoxide metabolic process | GO:0055114 oxidation-reduction process,GO:0005737 cytoplasm,GO:0046872 metal ion binding | GO:0004784 superoxide dismutase activity,1.15.1.1 ,pfam00080 Sod_Cu,GO & Enzyme & Domain,2.67E-06,0.815215205,0.000140291,Intermediate,Intermediate
1098|*|Contig862,4108,gi|307178050|gb|EFN66895.1| Acidic fibroblast growth factor intracellular-binding protein ,358,1.99E-242,828.343449,-,-,GO:0017134 fibroblast growth factor binding,1.2.4.1 ,pfam05427 FIBP | pfam02779 Transket_pyr | pfam02780 Transketolase_C,GO & Enzyme & Domain,7.84E-07,0.842069123,5.28936E-05,Low,Low
11007|*|comp144129_c0_seq2,1219,-,-,-,-,-,-,-,-,-,,3.91E-07,0.855486276,3.05289E-05,Low,High
11026|*|comp123507_c2_seq1,1217,gi|322803115|gb|EFZ23203.1| hypothetical protein SINV_14716 ,241,5.23E-147,511.57667,GO:0007155 cell adhesion,GO:0016021 integral to membrane,-,-,-,GO only,1.51E-09,0.928596053,3.59E-07,Intermediate,Intermediate
11040|*|comp146274_c1_seq1,1216,gi|380017877|ref|XP_003692871.1| PREDICTED: uncharacterized protein LOC100867805 ,51,4.85E-14,87.575811,-,-,-,-,-,,8.10E-07,0.841413756,5.4151E-05,Intermediate,Intermediate
11057|*|comp131586_c0_seq1,1214,gi|193610737|ref|XP_001943491.1| PREDICTED: putative nuclease HARBI1-like ,345,1.11E-117,414.21351,GO:0006508 proteolysis,GO:0005737 cytoplasm | GO:0031012 extracellular matrix | GO:0005813 centrosome,GO:0004222 metalloendopeptidase activity | GO:0008270 zinc ion binding,-,pfam13359 DDE_4 | pfam04827 Plant_tran,GO & Domain,6.68E-06,0.792063194,0.000295372,Bimodal,Intermediate
11075|*|Contig1116,1213,-,-,-,-,-,-,-,-,-,,8.66E-12,0.962699886,4.82E-09,Low,Intermediate
11078|*|comp149555_c1_seq6,1213,gi|339261028|ref|XP_003368116.1| conserved hypothetical protein ,183,4.85E-52,207.372879,GO:0006278 RNA-dependent DNA replication | GO:0006508 proteolysis | GO:0015074 DNA integration,-,GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding | GO:0004190 aspartic-type endopeptidase activity | GO:0008270 zinc ion binding,-,-,GO only,1.25E-10,0.947800154,4.59E-08,High,Low
1108|*|comp147533_c0_seq1,4093,gi|307177636|gb|EFN66694.1| Hyccin ,513,0,1076.462471,-,-,-,-,pfam09790 Hyccin,Domain only,2.02E-06,0.821693701,0.000111308,Low,Intermediate
11131|*|comp149984_c0_seq3,1208,-,-,-,-,-,-,-,-,pfam08395 7tm_7,Domain only,1.92E-06,0.822840159,0.000107295,Low,Bimodal
11179|*|Contig884,1204,gi|350406184|ref|XP_003487683.1| PREDICTED: serine protease inhibitor 3-like ,49,0.000535,54.822305,-,-,-,-,-,,6.72E-06,0.791929281,0.00029645,High,Low
1123|*|comp149574_c0_seq1,4084,gi|322799999|gb|EFZ21116.1| hypothetical protein SINV_12866 ,823,0,1564.175628,-,-,-,-,-,,6.33E-06,0.793535745,0.000282847,Low,Low
1129|*|Contig6114,4072,gi|332023565|gb|EGI63801.1| hypothetical protein G5I_07836 ,753,0,1370.346664,"GO:0006355 regulation of transcription, DNA-dependent | GO:0007165 signal transduction",GO:0005667 transcription factor complex | GO:0005737 cytoplasm | GO:0005634 nucleus,GO:0004871 signal transducer activity | GO:0003677 DNA binding | GO:0046983 protein dimerization activity | GO:0003700 sequence-specific DNA binding transcription factor activity,-,-,GO only,2.43E-07,0.863994483,2.10843E-05,Low,Low
11314|*|comp148964_c2_seq1,1191,-,-,-,-,-,-,-,-,-,,9.05E-06,0.783761011,0.000377112,Low,Low
